session_key,ts,category,flag,scope,sector,lap_number,driver_id,message
9684,2025-02-27 18:05:31+02,Flag,RED,Track,,,,RED FLAG
9684,2025-02-27 18:07:05+02,Flag,CLEAR,Track,,,,TRACK CLEAR
9684,2025-02-27 18:07:08+02,Other,,,,,,TRACK TEST COMPLETED
9685,2025-02-28 08:45:06+02,Other,,,,,,RISK OF RAIN FOR AM SESSION IS 0%
9685,2025-02-28 08:50:31+02,Other,,,,,,PINK HEAD PADDING MATERIAL MUST BE USED
9685,2025-02-28 09:00:00+02,Flag,GREEN,Track,,,,GREEN LIGHT - PIT EXIT OPEN
9685,2025-02-28 09:00:00.106+02,SessionStatus,,,,,,SESSION STARTED
9685,2025-02-28 09:09:55+02,Other,,,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 2
9685,2025-02-28 09:09:56+02,Flag,CLEAR,Sector,2,,,CLEAR IN TRACK SECTOR 2
9685,2025-02-28 09:31:21+02,Flag,DOUBLE YELLOW,Sector,1,,,DOUBLE YELLOW IN TRACK SECTOR 1
9685,2025-02-28 09:31:22+02,Other,,,,,,DRS DISABLED IN ZONE 3
9685,2025-02-28 09:31:38+02,Flag,CLEAR,Sector,1,,,CLEAR IN TRACK SECTOR 1
9685,2025-02-28 09:31:38+02,Other,,,,,,DRS ENABLED IN ZONE 3
9685,2025-02-28 10:38:36+02,Flag,DOUBLE YELLOW,Sector,4,,,DOUBLE YELLOW IN TRACK SECTOR 4
9685,2025-02-28 10:38:37+02,Other,,,,,,DRS DISABLED IN ZONE 1
9685,2025-02-28 10:38:51+02,Flag,CLEAR,Sector,4,,,CLEAR IN TRACK SECTOR 4
9685,2025-02-28 10:38:51+02,Other,,,,,,DRS ENABLED IN ZONE 1
9685,2025-02-28 10:48:07+02,Flag,YELLOW,Sector,5,,,YELLOW IN TRACK SECTOR 5
9685,2025-02-28 10:48:13+02,Flag,CLEAR,Sector,5,,,CLEAR IN TRACK SECTOR 5
9685,2025-02-28 11:35:11+02,Flag,YELLOW,Sector,11,,,YELLOW IN TRACK SECTOR 11
9685,2025-02-28 11:35:12+02,Other,,,,,,DRS DISABLED IN ZONE 2
9685,2025-02-28 11:35:19+02,Other,,,,,,DRS ENABLED IN ZONE 2
