session_key,driver_id,driver_number,position,points,number_of_laps,dnf,dns,dsq,duration_s,gap_to_leader_s,laps_down,q1_s,q2_s,q3_s,gap_raw
9859,1,1,17,0.00,31,f,f,f,71.368,1.393,,,,,1.393
9859,9,16,18,0.00,30,f,f,f,71.493,1.518,,,,,1.518
9859,16,44,19,0.00,28,f,f,f,71.526,1.551,,,,,1.551
9859,11,22,20,0.00,20,f,f,f,71.763,1.788,,,,,1.788
9860,2,4,1,0.00,20,f,f,f,,,,69.627,69.373,69.243,"[0.0, 0.043, 0.0]"
9860,7,12,2,0.00,16,f,f,f,,,,70.381,69.504,69.340,"[0.754, 0.174, 0.097]"
9860,19,81,3,0.00,19,f,f,f,,,,70.017,69.416,69.428,"[0.39, 0.086, 0.185]"
9860,18,63,4,0.00,16,f,f,f,,,,70.048,69.384,69.495,"[0.421, 0.054, 0.252]"
9860,8,14,5,0.00,12,f,f,f,,,,70.011,69.330,69.496,"[0.384, 0.0, 0.253]"
9860,1,1,6,0.00,15,f,f,f,,,,69.975,69.707,69.580,"[0.348, 0.377, 0.337]"
9860,10,18,7,0.00,15,f,f,f,,,,70.326,69.647,69.671,"[0.699, 0.317, 0.428]"
9860,9,16,8,0.00,19,f,f,f,,,,70.324,69.732,69.725,"[0.697, 0.402, 0.482]"
9860,4,6,9,0.00,15,f,f,f,,,,70.095,69.608,69.775,"[0.468, 0.278, 0.532]"
9860,13,27,10,0.00,15,f,f,f,,,,70.333,69.735,69.935,"[0.706, 0.405, 0.692]"
9860,16,44,11,0.00,14,f,f,f,,,,70.224,69.811,,"[0.597, 0.481, null]"
9860,12,23,12,0.00,12,f,f,f,,,,70.275,69.813,,"[0.648, 0.483, null]"
9860,6,10,13,0.00,12,f,f,f,,,,70.097,69.852,,"[0.47, 0.522, null]"
9860,3,5,14,0.00,12,f,f,f,,,,70.217,69.923,,"[0.59, 0.593, null]"
9860,20,87,15,0.00,12,f,f,f,,,,70.066,69.946,,"[0.439, 0.616, null]"
9860,29,43,16,0.00,6,f,f,f,,,,70.441,,,"[0.814, null, null]"
9860,14,30,17,0.00,5,f,f,f,,,,70.666,,,"[1.039, null, null]"
9860,11,22,18,0.00,6,f,f,f,,,,70.692,,,"[1.065, null, null]"
9860,15,31,19,0.00,6,f,f,f,,,,70.872,,,"[1.245, null, null]"
9860,17,55,20,0.00,6,f,f,f,,,,71.120,,,"[1.493, null, null]"
9864,2,4,1,8.00,24,f,f,f,3205.928,0.000,,,,,0
9864,7,12,2,7.00,24,f,f,f,3206.773,0.845,,,,,0.845
9864,18,63,3,6.00,24,f,f,f,3208.246,2.318,,,,,2.318
9864,1,1,4,5.00,24,f,f,f,3210.351,4.423,,,,,4.423
9864,9,16,5,4.00,24,f,f,f,3222.411,16.483,,,,,16.483
9864,8,14,6,3.00,24,f,f,f,3224.234,18.306,,,,,18.306
9864,16,44,7,2.00,24,f,f,f,3224.531,18.603,,,,,18.603
9864,6,10,8,1.00,24,f,f,f,3225.294,19.366,,,,,19.366
9864,10,18,9,0.00,24,f,f,f,3229.861,23.933,,,,,23.933
9864,4,6,10,0.00,24,f,f,f,3235.476,29.548,,,,,29.548
9864,15,31,11,0.00,24,f,f,f,3236.928,31.000,,,,,31.0
9864,20,87,12,0.00,24,f,f,f,3237.262,31.334,,,,,31.334
9864,14,30,13,0.00,24,f,f,f,3244.018,38.090,,,,,38.09
9864,11,22,14,0.00,24,f,f,f,3244.390,38.462,,,,,38.462
9864,17,55,15,0.00,24,f,f,f,3244.879,38.951,,,,,38.951
9864,13,27,16,0.00,24,f,f,f,3248.277,42.349,,,,,42.349
9864,12,23,17,0.00,24,f,f,f,3261.384,55.456,,,,,55.456
9864,3,5,18,0.00,23,t,f,f,,,,,,,
9864,19,81,,0.00,5,t,f,f,,,,,,,
9864,29,43,,0.00,5,t,f,f,,,,,,,
9865,2,4,1,0.00,21,f,f,f,,,,69.656,69.616,69.511,"[0.0, 0.0, 0.0]"
